entidad_norm,id_entidad_pt,entidad_pt,regimen,periodo_pt,n_personas_pt,ingreso_mediana_pt,ingreso_p25_pt,ingreso_p75_pt,masa_mensual_pt,n_convocatorias_cas,salario_oferta_mediana_cas,gap_oferta_vs_ejecutado,fuente_pt_url
MUNICIPALIDAD DISTRITAL DE YAULI - HUANCAVELICA (MDY),11910,Municipalidad Distrital de Yauli - Huancavelica (MDY),CAS,2026-03,34,1700.0,1500.0,1900.0,58250.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=11910&in_anno_consulta=2026&ch_mes_consulta=03&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=2
MUNICIPALIDAD DISTRITAL DE CAMANTI,11042,Municipalidad Distrital de Camanti,CAS,2025-11,18,2900.0,2400.0,3500.0,56614.19,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=11042&in_anno_consulta=2025&ch_mes_consulta=11&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
MUNICIPALIDAD DISTRITAL DE CHARACATO (MD-CHARACATO),10482,Municipalidad Distrital de Characato (MD-CHARACATO),CAS,2026-04,28,1514.19,1464.19,1864.19,55894.56,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10482&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
MUNICIPALIDAD PROVINCIAL DE HUAYLAS (MPHY),10220,MUNICIPALIDAD PROVINCIAL DE HUAYLAS (MPHy),CAS,2025-12,22,1626.69,1589.19,3800.0,55109.47,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10220&in_anno_consulta=2025&ch_mes_consulta=12&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
MUNICIPALIDAD DISTRITAL ANDRES AVELINO CACERES DORREGARAY (MDAACD),15356,Municipalidad Distrital Andres Avelino Caceres Dorregaray (MDAACD),CAS,2025-07,27,2001.83,1863.1,2161.34,54669.44,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=15356&in_anno_consulta=2025&ch_mes_consulta=07&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=3
MUNICIPALIDAD DISTRITAL DE CHINCHAO (MDCH),11996,Municipalidad Distrital de Chinchao (MDCH),CAS,2026-02,20,2540.0,1800.0,3124.19,53736.76,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=11996&in_anno_consulta=2026&ch_mes_consulta=02&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=3
MUNICIPALIDAD DISTRITAL DE CURA MORI (MDCM),11550,Municipalidad Distrital de Cura Mori (MDCM),CAS,2026-04,21,2150.0,1750.0,3250.0,53700.0,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=11550&in_anno_consulta=2026&ch_mes_consulta=04&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
UNIDAD DE GESTION EDUCATIVA LOCAL DE TALARA N306 (UGEL TALARA),14251,Unidad de Gestión Educativa Local de Talara N°306 (UGEL Talara),CAS,2026-02,19,3164.19,2164.19,3164.19,53450.78,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=14251&in_anno_consulta=2026&ch_mes_consulta=02&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
MUNICIPALIDAD DISTRITAL DE SANTA EULALIA (MDSE),10653,Municipalidad Distrital de Santa Eulalia (MDSE),CAS,2026-01,20,3000.0,1494.19,3677.42,52757.39,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=10653&in_anno_consulta=2026&ch_mes_consulta=01&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
INSTITUTO CATASTRAL DE LIMA (ICL),13132,Instituto Catastral De Lima (ICL),CAS,2026-05,14,3125.0,2440.19,3940.19,52338.14,,,,https://www.transparencia.gob.pe/personal/pte_transparencia_personal.aspx?id_entidad=13132&in_anno_consulta=2026&ch_mes_consulta=05&vc_nombre_funcionario=&vc_dni_funcionario=&ch_tipo_regimen=1&id_tema=32&Ver=&pag=1
