id_entidad,entidad,categoria,regimen,n,mediana,p25,p75,maximo,masa_mensual
1995,Municipalidad Provincial de Coronel Portillo (municportillo),Municipalidad,CAS,588,1658,1450.0,2358.41,7800,1319547
866,Municipalidad Provincial del Callao (MPCallao),Municipalidad,CAS,587,2300,1730.0,3604.19,8000,1644227
18727,Programa Nacional Plataformas de Acción para la Inclusión Social (PNPAIS),Organismo público,CAS,585,3364,3364.19,3364.19,17714,2624003
13764,Hospital San Juan de Lurigancho (HSJL),Salud,CAS,575,2314,2152.17,3435.71,14364,1847353
104,Instituto Tecnológico de la Producción (ITP),Educación,CAS,562,5364,3364.19,8364.19,15600,3515412
128,Instituto Nacional de Defensa Civil (INDECI),Organismo público,CAS,562,4800,3792.61,5864.19,10364,2771478
137,Ministerio de Energía y Minas (MINEM),Ministerio,CAS,553,7864,5364.19,9900.0,15600,4367285
10406,Universidad Nacional de San Agustín (UNSA),Universidad,CAS,553,2064,1714.19,2864.19,15600,1345904
10146,Gobierno Regional de Huánuco (GOREHCO),Gobierno Regional,CAS,553,3164,2364.19,4364.19,14364,2121882
13077,Proyecto Especial de Infraestructura de Transporte Nacional (Provias Nacional),Organismo público,CAS,549,7961,3500.0,10000.0,39387,4224543
12886,Hospital Rezola Cañete (HRC),Salud,CAS,540,3264,2164.19,5465.19,9608,2247641
18699,UNIDAD EJECUTORA Nº 402 SALUD HUALLAGA CENTRAL (U.E.402SHC),Salud,CAS,539,2644,2164.19,4164.19,10364,1870183
145,Presidencia del Consejo de Ministros (PCM),Ministerio,CAS,538,8364,6364.19,10364.19,56160,4694298
14056,HOSPITAL DE APOYO II-2 SULLANA (HAS),Salud,CAS,534,2164,2141.64,3259.88,14364,1542793
13149,Hospital Nacional Sergio E. Bernales (HNSEB - MINSA),Salud,CAS,533,2064,1512.84,3210.97,14864,1659806
10,Organismo Especializado para las Contrataciones Públicas Eficientes (OECE),Organismo público,CAS,530,6364,4759.14,8391.89,14364,3494620
87987,HOSPITAL AMAZONICO (HAYA),Salud,CAS,513,2064,1564.19,3164.19,9264,1306371
92,Instituto Nacional de Innovación Agraria (INIA),Organismo público,CAS,512,2750,1389.19,5250.0,10364,2125822
14267,INSTITUTO NACIONAL DE SALUD DEL NIÑO - SAN BORJA (INSNSB),Salud,CAS,506,4164,2864.19,7584.99,15801,2725708
10118,Municipalidad Distrital de Surquillo (MDS),Municipalidad,CAS,504,1905,1663.38,3099.78,15000,1522388
10056,Municipalidad Distrital de Chorrillos (MDCHORRILLOS),Municipalidad,CAS,494,1954,1364.19,2500.0,15000,1298121
10124,Municipalidad Distrital de Villa María del Triunfo (MVMT),Municipalidad,CAS,491,1499,1403.31,1902.59,12850,1035186
10215,Corte Superior de Justicia de Junin (CSJJ),Justicia/Fiscalía,CAS,489,3336,2765.28,4086.19,10564,1610830
14173,HOSPITAL REGIONAL DE AYACUCHO (HR MAMLL A),Salud,CAS,484,2714,2164.19,3264.19,9364,1485950
10032,Instituto Nacional de Salud (INS),Salud,CAS,483,3264,2764.19,6328.96,15819,2359516
13145,HOSPITAL HUARAL Y SERVICIOS BASICOS DE SALUD (HH-SBS),Salud,CAS,479,2864,2164.19,3264.19,9213,1475728
10061,Municipalidad Distrital de Jesús María (MDJM),Municipalidad,CAS,479,2086,2064.19,2464.19,14800,1488944
12884,Hospital María Auxiliadora (HMA),Salud,CAS,476,3024,2052.72,3864.19,15600,1763263
18835,Programa Nacional de Centros Juveniles (PRONACEJ),Organismo público,CAS,473,2750,1708.72,3364.19,14255,1586738
67964,RED DE SALUD SAN ROMAN (SSR),Salud,CAS,472,2364,2164.19,3264.19,7664,1329830
10209,Corte Superior de Cusco (D.J. Cusco),Justicia/Fiscalía,CAS,465,3834,3264.19,4364.19,8257,1718932
138,Ministerio de Comercio Exterior y Turismo (MINCETUR),Ministerio,CAS,463,8203,5364.19,10285.03,15600,3685513
75,Superintendencia Nacional de Salud (SUSALUD),Salud,CAS,458,6261,3864.19,8354.19,15600,2827417
10083,Municipalidad Distrital de San Juan de Miraflores - LIMA (SJM),Municipalidad,CAS,455,1814,1500.0,1916.66,13364,1158088
103,Instituto del Mar del Perú (IMARPE),Organismo público,CAS,454,6864,5864.19,7864.19,11364,3078180
127,Ministerio del Ambiente (MINAM),Ministerio,CAS,453,7343,5200.0,9336.67,15600,3298836
10070,Municipalidad Distrital de Pachacámac (MDPACHACAMAC),Municipalidad,CAS,446,2064,1850.0,2398.19,13000,1121145
10003,Comisión de Promoción del Perú para la Exportación y el Turismo (PROMPERÚ),Organismo público,CAS,441,6364,3864.19,8364.19,15600,2934149
23,Defensoría del Pueblo (DP),Organismo constitucional,CAS,440,3864,3364.19,5364.19,15564,2018746
14184,Programa Nacional de Becas y Crédito Educativo (PRONABEC),Educación,CAS,440,4864,4364.19,7455.03,15364,2811325
78976,Autoridad Nacional de Infraestructura (ANIN),Organismo público,CAS,434,10814,9364.19,12364.19,15876,4642108
12962,Servicio de Parques de Lima (SERPAR - LIMA),Organismo público,CAS,431,1650,1564.19,1764.19,9850,1029133
10216,Corte Superior de Justicia de la Libertad (D.J. LA LIBERTAD),Justicia/Fiscalía,CAS,429,2936,1664.19,3757.19,8164,1310324
